id,geometry
17031221000,POINT (-87.71525255727789 41.92096043060236)
17031221100,POINT (-87.71036087537797 41.92102054216188)
17031242800,POINT (-87.69032375549158 41.8926320455768)
17031242900,POINT (-87.68428963664432 41.89219553293475)
17031243000,POINT (-87.67939814177186 41.89227537939269)
17031243100,POINT (-87.6745067534742 41.892354662136384)
17031243200,POINT (-87.66962376185872 41.8924327424389)
17031243300,POINT (-87.66473878651611 41.892478174240516)
17031243400,POINT (-87.6598540386419 41.89256606514704)
17031071400,POINT (-87.6294059796152 41.92215307591396)
17031110400,POINT (-87.77261142840985 41.97295366781566)
17031150600,POINT (-87.77175783371877 41.94947309630196)
17031150700,POINT (-87.76195802891984 41.94959156460801)
17031150800,POINT (-87.75211816585292 41.949708612798034)
17031819200,POINT (-87.83003347794383 41.81187906077606)
17031829402,POINT (-87.66192164366866 41.48186197118098)
17031811302,POINT (-87.85953778340914 41.916082925983766)
17031802802,POINT (-87.94324663354163 42.07166678714056)
17031829700,POINT (-87.59735504966307 41.4948649086864)
17031830003,POINT (-87.7705235378639 41.51370355095756)
17031823703,POINT (-87.80825310717206 41.71880526265723)
17031829800,POINT (-87.68433625425118 41.54258758408136)
17031804607,POINT (-88.05359275624002 41.99611742892749)
17031823901,POINT (-87.83884902913091 41.668714212341015)
17031804709,POINT (-88.08796988521145 42.03792658457224)
17031826800,POINT (-87.66001505992556 41.6373646197343)
17031710300,POINT (-87.66110569972989 41.75404851434254)
17031825600,POINT (-87.69791509963937 41.59300462752711)
17031831100,POINT (-87.71749553258198 41.94285581303519)
17031831500,POINT (-87.78800675934622 41.92759556923516)
17031831600,POINT (-87.79761487598931 41.92561056126982)
17031831200,POINT (-87.73225998607661 41.915321262277516)
17031831000,POINT (-87.67699655114818 41.914798120094204)
17031843000,POINT (-87.72274885882986 41.86793610040466)
17031843100,POINT (-87.70071235042221 41.86075009449607)
17031842900,POINT (-87.67293711680027 41.863138632969914)
17031843500,POINT (-87.69675404044784 41.838216780930715)
17031842000,POINT (-87.62517013139242 41.8349600784139)
17031804508,POINT (-88.18009983286734 42.00731926990862)
17031770901,POINT (-87.81686040738938 41.97055591951988)
17031832400,POINT (-87.69225648429946 41.9157411008667)
17031832900,POINT (-87.66193484552119 41.87417505967809)
17031840300,POINT (-87.68188109222346 41.832097139451776)
17031823805,POINT (-87.82435477220929 41.68736180525157)
17031838600,POINT (-87.70082362410216 41.86782326682578)
17031839600,POINT (-87.6192486271976 41.827442891998004)
17031834900,POINT (-87.65673611591552 41.7722988906087)
17031030603,POINT (-87.65839788835892 41.98547624568191)
17031832200,POINT (-87.67997459689116 41.92048003335367)
17031836700,POINT (-87.70217470538151 41.89170402567369)
17031836800,POINT (-87.7138624803856 41.88504484221935)
17031836600,POINT (-87.70880592442549 41.89869729144853)
17031833000,POINT (-87.65724882210007 41.885286181998126)
17031842500,POINT (-87.62321578060879 41.77695059187637)
17031841800,POINT (-87.59942027200435 41.76630645943606)
17031980100,POINT (-87.7508999783038 41.785981347770026)
17031842800,POINT (-87.69830430047602 41.80753375018332)
17031843800,POINT (-87.64047558753649 41.8016568337619)
17031841000,POINT (-87.623710881216 41.8490495)
17031834200,POINT (-87.58360696952603 41.75556760384297)
17031842200,POINT (-87.6497922833978 41.90487781028974)
17031838000,POINT (-87.68065211079337 41.87736664371423)
17031010702,POINT (-87.67272571906948 42.00902000083218)
17031010503,POINT (-87.66312616252857 42.00032071943175)
17031010502,POINT (-87.66332730761064 42.004517303544624)
17031010701,POINT (-87.67862046977149 42.009148250760084)
17031020902,POINT (-87.67868411278651 41.994258553389805)
17031020302,POINT (-87.69496340871943 42.00854065713584)
17031020601,POINT (-87.70180243003576 42.00087462082872)
17031020301,POINT (-87.7051863778237 42.006865241417856)
17031760803,POINT (-87.84413572443702 41.97534084898445)
17031530501,POINT (-87.63216595748678 41.674277913993656)
17031530503,POINT (-87.6375137731216 41.663564888400856)
17031650301,POINT (-87.72999163032955 41.77492752559757)
17031650302,POINT (-87.71773314743112 41.775093130436076)
17031530502,POINT (-87.62667368744548 41.66480491975135)
17031803611,POINT (-88.01786501624161 42.147831952854624)
17031831300,POINT (-87.74425949897889 41.90776635689262)
17031831400,POINT (-87.75608822030351 41.86911847824178)
17031837000,POINT (-87.69867387851903 41.87832338220738)
17031842400,POINT (-87.63007091439275 41.74242619015273)
17031832100,POINT (-87.6532413519096 41.952821475699565)
17031020802,POINT (-87.69463059959031 41.994059242509536)
17031020702,POINT (-87.70489396838946 41.99412565798377)
17031020801,POINT (-87.69441487499974 41.986808170771305)
17031040202,POINT (-87.6940960216372 41.97985491329422)
17031040201,POINT (-87.69400051968006 41.972580482639145)
17031040402,POINT (-87.67881808321181 41.97254500870538)
17031031501,POINT (-87.65243426432005 41.96728856744478)
17031081201,POINT (-87.62621204438287 41.89915380623647)
17031063301,POINT (-87.64302394598124 41.93454073372269)
17031490901,POINT (-87.61626764812614 41.696058144476005)
17031490902,POINT (-87.61532623564192 41.70328008442671)
17031301801,POINT (-87.73505087248314 41.841659755463844)
17031700301,POINT (-87.7317116834997 41.74562239997007)
17031301702,POINT (-87.71952439699972 41.83880617031676)
17031700401,POINT (-87.7120354783427 41.74553710539331)
17031803612,POINT (-88.00879088310465 42.149852412363984)
17031803702,POINT (-88.05414617973415 42.105686552643625)
17031804713,POINT (-88.0899484611574 42.053522646603234)
17031804309,POINT (-88.15757245985914 42.01257350840148)
17031804510,POINT (-88.15255547611581 42.0000407112666)
17031837100,POINT (-87.69872035085338 41.88567353796756)
17031837400,POINT (-87.69380127146422 41.8759747316847)
17031837800,POINT (-87.68412718819161 41.8847503511754)
17031815600,POINT (-87.8240394454107 41.84496814201844)
17031818000,POINT (-87.85843998612519 41.854359841184625)
17031812000,POINT (-87.82005952555964 41.887672927838175)
17031836500,POINT (-87.60061436261944 41.828273048060666)
17031843900,POINT (-87.57601920646151 41.77659057137035)
17031837300,POINT (-87.70555240666454 41.871619053023274)
17031841500,POINT (-87.70791321500774 41.86162254159939)
17031838700,POINT (-87.72018510808631 41.86257753282845)
17031150501,POINT (-87.78196386850112 41.964476262608265)
17031150401,POINT (-87.77226481413318 41.964567656425324)
17031150502,POINT (-87.78184136033425 41.95677846361506)
17031110502,POINT (-87.75985231944274 41.970286504129085)
17031150402,POINT (-87.77204361339044 41.95679796554898)
17031140302,POINT (-87.72375609513992 41.9724937891552)
17031140301,POINT (-87.7231695039366 41.96920551707815)
17031700302,POINT (-87.7313064229641 41.73836512143637)
17031580501,POINT (-87.69949615979074 41.8199859847318)
17031580502,POINT (-87.69931021606457 41.8145617095003)
17031730201,POINT (-87.65790155546897 41.72686262076465)
17031301802,POINT (-87.72775914978695 41.84518462855274)
17031440101,POINT (-87.60145118583598 41.74862709756806)
17031301701,POINT (-87.71962538618997 41.84248052924663)
17031804509,POINT (-88.16512092537464 42.004413823064155)
17031804511,POINT (-88.15220880610391 41.99226547096204)
17031804609,POINT (-88.04460726675501 42.03157921889877)
17031804608,POINT (-88.07061365314982 42.03533593243717)
17031806202,POINT (-87.88889194092721 42.037610144885065)
17031839100,POINT (-87.63274576901246 41.88102813647396)
17031833100,POINT (-87.65704585101493 41.879077672803604)
17031838100,POINT (-87.6716928505684 41.878670108299964)
17031833300,POINT (-87.65412373420169 41.87169458300139)
17031838200,POINT (-87.67512594532063 41.87041483114621)
17031140702,POINT (-87.71357531282777 41.96354820996093)
17031140602,POINT (-87.72101658194882 41.96465209633138)
17031140701,POINT (-87.71265244888542 41.96703747902466)
17031160502,POINT (-87.71308765177974 41.95558410190804)
17031160602,POINT (-87.70017370851393 41.95657185293686)
17031151002,POINT (-87.74715538394562 41.942491774888566)
17031151001,POINT (-87.75435269944403 41.94238266332585)
17031431302,POINT (-87.56278598064895 41.75838548999829)
17031460302,POINT (-87.55738790063553 41.74708408893362)
17031460301,POINT (-87.55636732167167 41.7400263550122)
17031700501,POINT (-87.69034229749482 41.74621313942946)
17031700502,POINT (-87.68876827183473 41.73885196766826)
17031210601,POINT (-87.71221399690532 41.93763562476156)
17031812302,POINT (-87.8015407052416 41.89674686384291)
17031812802,POINT (-87.79717666793914 41.88328901929151)
17031812801,POINT (-87.80241466166318 41.88318784606665)
17031812301,POINT (-87.79845889075361 41.889147628929685)
17031813802,POINT (-87.75398864815071 41.847974640691575)
17031813701,POINT (-87.75419507749646 41.854883331168885)
17031820603,POINT (-87.84339360449869 41.75434474457228)
17031841100,POINT (-87.63510822889155 41.85099348586654)
17031840200,POINT (-87.64931674379733 41.84470527654116)
17031841300,POINT (-87.68301754320247 41.84407722376567)
17031840700,POINT (-87.69426644591424 41.85293023118955)
17031841700,POINT (-87.70418180892116 41.853130123316944)
17031190602,POINT (-87.77073706729574 41.92756040223464)
17031190401,POINT (-87.78095236406995 41.934727683442055)
17031190702,POINT (-87.76103953907604 41.926163042868716)
17031191302,POINT (-87.77053336591909 41.92022890010988)
17031190601,POINT (-87.78046060766414 41.927414617961375)
17031191301,POINT (-87.78026544916037 41.92015218092197)
17031200402,POINT (-87.72967896483499 41.91963483149526)
17031200401,POINT (-87.73754189740521 41.91982848514917)
17031220902,POINT (-87.72183572975253 41.922711188935565)
17031210501,POINT (-87.72233013678617 41.93740129202504)
17031160601,POINT (-87.70329357642916 41.959397988057965)
17031061901,POINT (-87.64346790997867 41.943230559524466)
17031840800,POINT (-87.70737099118386 41.840833004293756)
17031030703,POINT (-87.65787077928279 41.97887487981332)
17031081403,POINT (-87.62094634131591 41.8911505)
17031030702,POINT (-87.65452860256313 41.98081482145483)
17031440102,POINT (-87.60116366358919 41.74093569006951)
17031440202,POINT (-87.60976203615895 41.74095993202832)
17031824113,POINT (-87.90169167049484 41.622314588933264)
17031825304,POINT (-87.80398649975018 41.573608599047326)
17031803012,POINT (-87.99523205856498 42.1432823991071)
17031802607,POINT (-87.9319458011393 42.09887750427848)
17031830500,POINT (-87.72395087510367 41.830065438069425)
17031840100,POINT (-87.63920301190785 41.841830907910456)
17031840400,POINT (-87.66752597645377 41.83382653486198)
17031839200,POINT (-87.62203623461583 41.84201087015634)
17031835500,POINT (-87.63253951148765 41.81635429969574)
17031804404,POINT (-88.24412112035321 42.04228797802891)
17031190402,POINT (-87.77123177067442 41.93485963725666)
17031431301,POINT (-87.56018712379176 41.75353016621479)
17031830008,POINT (-87.76122535102311 41.48077213882858)
17031834000,POINT (-87.62943214913197 41.727393986541216)
17031833900,POINT (-87.54785286272998 41.73187717904626)
17031804804,POINT (-88.12761024195655 41.996449177648344)
17031030604,POINT (-87.65276563075925 41.98594492238067)
17031031502,POINT (-87.65236559117237 41.96363265817102)
17031081402,POINT (-87.61375675501671 41.892866)
